Athlete ID,Athlete Last Name,Weight(K),Age,Gender,Event Name,Event Date,Event Location,Event Country,Event Weather,Event Results,Event Rank,Event Record,event_surface,Notes,Event_Temp in C,Event_Temp in K
1,Meeks,82,33,F,Decathlon,2/17/21,Track C,Spain,1,,3,FALSE,Sand,Need more food vendors,34,307.15
3,Florio,84,25,F,5000m,6/11/23,Arena D,USA,2,263.12,1,FALSE,Track,Notes List,29,302.15
7,Surdam,78,34,F,Pole Vault,5/23/19,Arena D,Brazil,1,120.86,2,FALSE,Dirt,Need another merchandise vendor,21,294.15
12,Beyer,86,26,F,Heptathlon,12/19/19,Arena D,India,3,124.19,4,TRUE,Grass,Great athletes,36,309.15
14,Bailey,60,23,F,100m,7/11/20,Stadium A,Brazil,4,247.06,1,FALSE,Turf,Great food vendors,25,298.15
21,Hernandez,62,35,F,Javelin Throw,11/4/20,Track C,China,2,109.3,3,FALSE,Asphalt,Good meet,34,307.15
26,Scott,61,26,F,200m,2/6/23,Track C,Mexico,5,151.17,4,TRUE,Track,Great athletes,32,305.15
29,Householder,65,20,F,4x400m Relay,6/7/22,Field B,USA,1,96.27,3,TRUE,Dirt,Great food vendors,27,300.15
35,Correra,60,31,F,Javelin Throw,7/5/21,Arena D,UK,2,138.14,2,FALSE,Concrete,Need another merchandise vendor,33,306.15
38,Semmes,69,22,F,110m Hurdles,6/15/23,Field B,Brazil,2,28.28,3,TRUE,Turf,Get more water for the next event,37,310.15
45,Loch,87,24,F,10000m,4/5/23,Track C,Mexico,3,102.27,4,TRUE,Grass,Get the same vendors next meet ,32,305.15
47,Dicaprio,66,29,F,10000m,7/8/21,Field B,Spain,1,296.84,3,TRUE,Asphalt,Get the same vendors next meet ,22,295.15
48,Gomez,78,24,F,3000m,4/8/23,Arena D,Spain,3,118.45,1,FALSE,Asphalt,Need another merchandise vendor,18,291.15
52,Lee,71,30,F,200m,2/6/21,Track C,Vietnam,1,93.58,2,,Grass,Good event,18,291.15
54,Hughes,82,27,F,100m,5/20/20,Field B,Canada,4,176.26,2,TRUE,Turf,Good event,29,302.15
55,Gross,69,29,F,100m,4/28/21,Track C,Canada,3,218.83,2,TRUE,Gravel,Need another merchandise vendor,37,310.15
56,Burris,69,26,F,200m,2/3/20,Stadium A,India,3,134.87,5,TRUE,Grass,Good event,16,289.15
62,Bevins,83,25,F,400m,4/23/22,Arena D,Mexico,1,78.53,1,TRUE,Concrete,Notes List,30,303.15
63,Patterson,70,33,F,110m hurdles,11/9/19,Stadium A,Mexico,3,159.22,2,TRUE,Track,Don't use this venue,16,289.15
66,Wike,85,21,F,800m,9/18/22,Track C,UK,2,97.4,5,TRUE,Dirt,Great event,25,298.15
67,Simmons,84,25,F,3000m,9/30/22,Track C,UK,2,212.08,3,TRUE,Concrete,Not the best show of audience,27,300.15
74,Merritt,67,34,F,400m hurdles,8/8/21,Arena D,Mexico,5,202.05,4,FALSE,Turf,Awesome athletes,16,289.15
83,Do,80,20,F,100m,4/4/20,Field B,Spain,3,146.04,4,TRUE,Sand,Need another merchandise vendor,20,293.15
86,Yamashita,61,32,F,400m hurdles,10/10/23,Field B,UK,1,122.18,5,TRUE,Track,Need more international food,19,292.15
87,Hall,65,22,F,400m,1/29/23,Arena D,Spain,2,146.51,2,TRUE,Asphalt,Good event,31,304.15
91,Stewart,86,31,F,400m hurdles,11/24/22,Field B,India,1,259.74,3,FALSE,Grass,Notes List,37,310.15
92,Goodloe,69,23,F,400m,7/31/19,Field B,Vietnam,1,19.15,1,FALSE,Track,Ran out of merchandise,29,302.15
93,Knight,70,30,F,400m hurdles,3/21/22,Field B,Mexico,3,133.11,1,TRUE,Gravel,Get the same vendors next meet ,28,301.15
95,Perrier,79,20,F,400m hurdles,5/11/22,Stadium A,Spain,2,18.87,2,FALSE,Sand,Need another merchandise vendor,19,292.15
97,Polk,63,28,F,3000m,11/15/19,Stadium A,South Korea,3,79.34,4,TRUE,Sand,Food vendors need higher quality food,22,295.15
102,Bryson,62,30,F,800m,6/1/23,Field B,Brazil,2,112.45,4,TRUE,Gravel,Ran out of merchandise,29,302.15
105,Simmons,85,25,F,100m,4/21/21,Track C,Brazil,5,118.45,4,TRUE,Sand,Need more food vendors,31,304.15
108,Cooper,87,29,F,400m,5/30/19,Track C,Canada,2,107.38,5,FALSE,Track,Ran out of merchandise,33,306.15
110,Taylor,66,20,F,800m,7/3/22,Track C,USA,2,194.42,4,TRUE,Concrete,Great food vendors,37,310.15
119,Jeffery,75,27,F,200m,6/12/19,Arena D,Brazil,3,62.92,1,TRUE,Asphalt,Don't use this venue,33,306.15
120,Bogard,69,29,F,110m hurdles,12/5/23,Stadium A,Spain,3,11.41,2,FALSE,Dirt,Need another merchandise vendor,16,289.15
121,Doherty,64,33,F,800m,2/16/19,Arena D,South Korea,5,44.82,1,FALSE,Gravel,Great food vendors,30,303.15
