Date,pred_prob,predicted_class,confidence,position,Signal,position_size,price,market_return,strategy_return,sized_strategy_return,cumulative_market_return,cumulative_strategy_return,drawdown
2024-06-18,0.4507777,0,0.5492223,0,Hold,0.0,165.5633544921875,0.006308496054768919,0.0,0.0,0.006328436525412595,0.0,0.0
2024-06-20,0.4439179,0,0.5560821,0,Hold,0.0,164.68919372558594,-0.005293905000152347,-0.0,-0.0,0.0010151059262339945,0.0,0.0
2024-06-21,0.4383355,0,0.56166446,0,Hold,0.0,165.2686767578125,0.0035124704081522778,0.0,0.0,0.004537324086177463,0.0,0.0
2024-06-24,0.42970437,0,0.57029563,0,Hold,0.0,165.455322265625,0.0011287087007831307,0.0,0.0,0.005671794226852933,0.0,0.0
2024-06-25,0.42936495,0,0.5706351,0,Hold,0.0,163.88375854492188,-0.009543815119438385,-0.0,-0.0,-0.003880496295442959,0.0,0.0
2024-06-26,0.42575598,0,0.574244,0,Hold,0.0,164.47308349609375,0.003589543499611701,0.0,0.0,-0.00029845690914753753,0.0,0.0
2024-06-27,0.4302472,0,0.5697528,0,Hold,0.0,163.6578369140625,-0.004969042591142637,-0.0,-0.0,-0.005253694865001601,0.0,0.0
2024-06-28,0.42606172,0,0.57393825,0,Hold,0.0,161.98806762695312,-0.010255212166643421,-0.0,-0.0,-0.01540289920559268,0.0,0.0
2024-07-01,0.43027186,0,0.56972814,0,Hold,0.0,159.82717895507812,-0.013429575955250284,-0.0,-0.0,-0.028537229114183993,0.0,0.0
2024-07-02,0.42831087,0,0.5716891,0,Hold,0.0,160.98619079589844,0.00722548991122925,0.0,0.0,-0.021492514556034625,0.0,0.0
2024-07-03,0.43765324,0,0.56234676,0,Hold,0.0,160.91744995117188,-0.00042708958253417185,-0.0,-0.0,-0.02191033567962375,0.0,0.0
2024-07-05,0.43662152,0,0.56337845,0,Hold,0.0,162.27291870117188,0.0083881008164599,0.0,0.0,-0.013671515246622024,0.0,0.0
2024-07-08,0.4473306,0,0.5526694,0,Hold,0.0,163.5596160888672,0.007897947188968385,0.0,0.0,-0.005850701429384042,0.0,0.0
2024-07-09,0.4503588,0,0.5496412,0,Hold,0.0,162.7149200439453,-0.005177835464104639,-0.0,-0.0,-0.010984939333856802,0.0,0.0
2024-07-10,0.45988795,0,0.540112,0,Hold,0.0,163.8346405029297,0.006857916731366463,0.0,0.0,-0.004179045950677973,0.0,0.0
2024-07-11,0.46607974,0,0.5339203,0,Hold,0.0,162.5970458984375,-0.007582600499606997,-0.0,-0.0,-0.011701402858768195,0.0,0.0
2024-07-12,0.4736786,0,0.5263214,0,Hold,0.0,163.6480255126953,0.006442906526155491,0.0,0.0,-0.005313330599178601,0.0,0.0
2024-07-15,0.47635585,0,0.52364415,0,Hold,0.0,161.65411376953125,-0.012258983100237736,-0.0,-0.0,-0.017432740073710762,0.0,0.0
2024-07-16,0.47918192,0,0.5208181,0,Hold,0.0,163.9819793701172,0.014297587428910958,0.0,0.0,-0.003283489731060296,0.0,0.0
2024-07-17,0.47668618,0,0.5233138,0,Hold,0.0,166.42771911621094,0.014804555844013346,0.0,0.0,0.011582224136501562,0.0,0.0
2024-07-18,0.48036036,0,0.5196396,0,Hold,0.0,165.4454803466797,-0.005919379083207636,-0.0,-0.0,0.0056119730005010915,0.0,0.0
2024-07-19,0.47644722,0,0.5235528,0,Hold,0.0,165.9662322998047,0.00314263112520054,0.0,0.0,0.0087772114701683,0.0,0.0
2024-07-22,0.47947192,0,0.5205281,0,Hold,0.0,166.25279235839844,0.0017251277524339796,0.0,0.0,0.01051898299092402,0.0,0.0
2024-07-23,0.47843364,0,0.5215664,0,Hold,0.0,164.6421356201172,-0.009735232080462865,-0.0,-0.0,0.0007290769927934537,0.0,0.0
2024-07-24,0.48012745,0,0.51987255,0,Hold,0.0,166.00576782226562,0.008248290214991133,0.0,0.0,0.0090175165825368,0.0,0.0
2024-07-25,0.48158842,0,0.5184116,0,Hold,0.0,164.91880798339844,-0.006569253705053085,-0.0,-0.0,0.0024107490489353456,0.0,0.0
2024-07-26,0.48317447,0,0.51682556,0,Hold,0.0,167.1025848388672,0.013154624330865443,0.0,0.0,0.015684198088577128,0.0,0.0
2024-07-29,0.48499393,0,0.51500607,0,Hold,0.0,167.912841796875,0.004837141656465397,0.0,0.0,0.02060910807386218,0.0,0.0
2024-07-30,0.48452345,0,0.5154766,0,Hold,0.0,159.78054809570312,-0.04964374658961869,-0.0,-0.0,-0.028820661157178074,0.0,0.0
2024-07-31,0.48527852,0,0.5147215,0,Hold,0.0,158.8516845703125,-0.005830333917189892,-0.0,-0.0,-0.03446648647956818,0.0,0.0
2024-08-01,0.483483,0,0.51651704,0,Hold,0.0,163.72317504882812,0.030206079154617718,0.0,0.0,-0.004856556118895239,0.0,0.0
2024-08-02,0.48820093,0,0.5117991,0,Hold,0.0,168.06106567382812,0.026150354911642047,0.0,0.0,0.021510043566547177,0.0,0.0
2024-08-05,0.48295084,0,0.5170492,0,Hold,0.0,166.06504821777344,-0.011947831177590473,-0.0,-0.0,0.009377835131958223,0.0,0.0
2024-08-06,0.4855312,0,0.5144688,0,Hold,0.0,166.09469604492188,0.000178515474793418,0.0,0.0,0.009558040779712451,0.0,0.0
2024-08-07,0.48793945,0,0.5120605,0,Hold,0.0,168.0017852783203,0.011416522194352173,0.0,0.0,0.02114972501712531,0.0,0.0
2024-08-08,0.49174774,0,0.50825226,0,Hold,0.0,168.84169006347656,0.0049869247131192175,0.0,0.0,0.026254840650164812,0.0,0.0
2024-08-09,0.49528968,0,0.5047103,0,Hold,0.0,168.51560974121094,-0.0019331458012184005,-0.0,-0.0,0.02427285676312807,0.0,0.0
2024-08-12,0.5034652,0,0.5034652,0,Hold,0.0,164.8298797607422,-0.022114474646721397,-0.0,-0.0,0.0018702248517592501,0.0,0.0
2024-08-13,0.5048137,0,0.5048137,0,Hold,0.0,165.30418395996094,0.0028734055505367155,0.0,0.0,0.004753144231480766,0.0,0.0
2024-08-14,0.5137369,0,0.5137369,0,Hold,0.0,166.7962646484375,0.008985779660691954,0.0,0.0,0.013822320384681008,0.0,0.0
2024-08-15,0.5096999,0,0.5096999,0,Hold,0.0,165.92669677734375,-0.005226990329649877,-0.0,-0.0,0.0085369063577998,0.0,0.0
2024-08-16,0.514467,0,0.514467,0,Hold,0.0,165.89706420898438,-0.00017860425877917586,-0.0,-0.0,0.008356793456132827,0.0,0.0
2024-08-19,0.5104314,0,0.5104314,0,Hold,0.0,166.4207763671875,0.0031518776774425053,0.0,0.0,0.011540024666749416,0.0,0.0
2024-08-20,0.5185653,0,0.5185653,0,Hold,0.0,168.38714599609375,0.01174639013657582,0.0,0.0,0.023492027453583697,0.0,0.0
2024-08-21,0.510847,0,0.510847,0,Hold,0.0,168.14012145996094,-0.0014680806245926249,-0.0,-0.0,0.021990561045196477,0.0,0.0
2024-08-22,0.5181915,0,0.5181915,0,Hold,0.0,168.13023376464844,-5.880801064818145e-05,-0.0,-0.0,0.021930461580582428,0.0,0.0
2024-08-23,0.51264536,0,0.51264536,0,Hold,0.0,167.161865234375,-0.005776284175308209,-0.0,-0.0,0.016044516637998774,0.0,0.0
2024-08-26,0.51658887,0,0.51658887,0,Hold,0.0,168.32786560058594,0.006951062604121462,0.0,0.0,0.023131708904162274,0.0,0.0
2024-08-27,0.50933313,0,0.50933313,0,Hold,0.0,167.2409210205078,-0.006478244847481405,-0.0,-0.0,0.016525034116648296,0.0,0.0
2024-08-28,0.508158,0,0.508158,0,Hold,0.0,167.0531768798828,-0.001123227490661478,-0.0,-0.0,0.015383886257682278,0.0,0.0
2024-08-29,0.50676405,0,0.50676405,0,Hold,0.0,168.01165771484375,0.005721181994696313,0.0,0.0,0.021209731735652104,0.0,0.0
2024-08-30,0.50567937,0,0.50567937,0,Hold,0.0,169.50372314453125,0.008841523878141553,0.0,0.0,0.03027881514276487,0.0,0.0
2024-09-03,0.5023531,0,0.5023531,0,Hold,0.0,172.4483642578125,0.017222961991362595,0.0,0.0,0.04817695508288433,0.0,0.0
2024-09-04,0.4998959,0,0.50010407,0,Hold,0.0,173.81198120117188,0.007876293145776585,0.0,0.0,0.05646530192653998,0.0,0.0
2024-09-05,0.49299768,0,0.50700235,0,Hold,0.0,173.3870849609375,-0.002447566792421358,-0.0,-0.0,0.053882694377713536,0.0,0.0
2024-09-06,0.4910364,0,0.5089636,0,Hold,0.0,173.5056610107422,0.0006836467801644323,0.0,0.0,0.05460342422264386,0.0,0.0
2024-09-09,0.48607045,0,0.51392955,0,Hold,0.0,173.97007751464844,0.002673088961054369,0.0,0.0,0.05742624413775155,0.0,0.0
2024-09-10,0.4850003,0,0.5149997,0,Hold,0.0,175.67953491210938,0.009778194839783599,0.0,0.0,0.06781668105158456,0.0,0.0
2024-09-11,0.48603994,0,0.51396006,0,Hold,0.0,171.85548400878906,-0.02200759657085653,-0.0,-0.0,0.04457330585823227,0.0,0.0
2024-09-12,0.47701114,0,0.52298886,0,Hold,0.0,171.41082763671875,-0.0025907384773479476,-0.0,-0.0,0.041870592126265205,0.0,0.0
2024-09-13,0.47033513,0,0.5296649,0,Hold,0.0,172.0135955810547,0.0035103418542886742,0.0,0.0,0.045534340815531094,0.0,0.0
2024-09-16,0.46449268,0,0.5355073,0,Hold,0.0,175.13607788085938,0.017989741883770928,0.0,0.0,0.06451343640391505,0.0,0.0
2024-09-17,0.46622148,0,0.53377855,0,Hold,0.0,173.792236328125,-0.00770271796463202,-0.0,-0.0,0.056345288489487055,0.0,0.0
2024-09-18,0.4604434,0,0.5395566,0,Hold,0.0,171.85548400878906,-0.011206627296079501,-0.0,-0.0,0.04457330585823249,0.0,0.0
