Symbol,accuracy,precision,recall,f1_score
AAPL,0.4774193548387097,0.5283551904331223,0.4774193548387097,0.46229311966386144
NVDA,0.5161290322580645,0.26638917793964617,0.5161290322580645,0.3514070006863418
MSFT,0.535483870967742,0.5953525294075196,0.535483870967742,0.40673211781206176
META,0.44516129032258067,0.44478813767368786,0.44516129032258067,0.31847530440529753
GOOGL,0.44516129032258067,0.19816857440166494,0.44516129032258067,0.27425115207373274
AVGO,0.4967741935483871,0.4926205837173579,0.4967741935483871,0.4804080678554732
GOOG,0.4645161290322581,0.5284645161290323,0.4645161290322581,0.4144757514557926
JPM,0.4064516129032258,0.1652029136316337,0.4064516129032258,0.2349215744303048
LLY,0.4967741935483871,0.49659743703049053,0.4967741935483871,0.49635483870967745
V,0.3935483870967742,0.15488033298647244,0.3935483870967742,0.22228195937873357
COST,0.4967741935483871,0.24678459937565037,0.4967741935483871,0.3297552836484983
MA,0.5290322580645161,0.45533806052132225,0.5290322580645161,0.4480134935694708
UNH,0.4774193548387097,0.5144912748868483,0.4774193548387097,0.39052475705974665
WMT,0.6,0.36,0.6,0.4499999999999999
PG,0.45806451612903226,0.20982310093652445,0.45806451612903226,0.28781044818726803
JNJ,0.47096774193548385,0.22181061394380855,0.47096774193548385,0.3015846066779853
HD,0.4645161290322581,0.21577523413111344,0.4645161290322581,0.2946710245843399
ABBV,0.5096774193548387,0.25977107180020814,0.5096774193548387,0.34414116349600216
BAC,0.4967741935483871,0.24678459937565037,0.4967741935483871,0.3297552836484983
CRM,0.45806451612903226,0.20982310093652445,0.45806451612903226,0.28781044818726803
MMM,0.4774193548387097,0.4044284097340124,0.4774193548387097,0.32364900842534555
T,0.4258064516129032,0.18131113423517167,0.4258064516129032,0.2543278353525033
