Date,pred_prob,predicted_class,confidence,position,Signal,position_size,price,market_return,strategy_return,sized_strategy_return,cumulative_market_return,cumulative_strategy_return,drawdown
2024-06-18,0.6230737,1,0.6230737,1,Buy,0.24614739418029785,178.6138458251953,-0.014512523626892824,-0.014512523626892824,-0.003697231670366632,-0.014407724534835076,-0.003690405324806134,0.0
2024-06-20,0.61776423,1,0.61776423,1,Buy,0.23552846908569336,171.87960815429688,-0.03843191051380025,-0.03843191051380025,-0.009459914626342323,-0.05156728850323922,-0.013070969408708555,-0.00938056408390242
2024-06-21,0.60843444,1,0.60843444,1,Buy,0.21686887741088867,164.35562133789062,-0.0447617761602936,-0.0447617761602936,-0.010542672612590438,-0.09308469300618682,-0.023421183742586726,-0.019730778417780592
2024-06-24,0.60039467,1,0.60039467,1,Buy,0.20078933238983154,158.2749481201172,-0.03769880433372054,-0.03769880433372054,-0.008175697375586719,-0.12663788439164447,-0.031372847118957936,-0.027682441794151802
2024-06-25,0.59003687,0,0.59003687,0,Hold,0.0,157.1397247314453,-0.007198322641649492,-0.007198322641649492,-0.0014453463975434102,-0.13290205387768417,-0.03277183762844682,-0.029081432303640686
2024-06-26,0.58106995,0,0.58106995,0,Hold,0.0,158.2540740966797,0.007066429374349196,0.0,0.0,-0.1267530673785111,-0.03277183762844682,-0.029081432303640686
2024-06-27,0.5708777,0,0.5708777,0,Hold,0.0,157.7232666015625,-0.0033597851875324966,-0.0,-0.0,-0.12968206632889778,-0.03277183762844682,-0.029081432303640686
2024-06-28,0.56308955,0,0.56308955,0,Hold,0.0,159.59902954101562,0.01182258423502025,0.0,0.0,-0.11933159514796743,-0.03277183762844682,-0.029081432303640686
2024-07-01,0.55329794,0,0.55329794,0,Hold,0.0,163.10508728027344,0.021730095886126802,0.0,0.0,-0.09998514745695686,-0.03277183762844682,-0.029081432303640686
2024-07-02,0.5456003,0,0.5456003,0,Hold,0.0,164.76316833496094,0.010114399070691905,0.0,0.0,-0.09083584622532392,-0.03277183762844682,-0.029081432303640686
