Date,pred_prob,predicted_class,confidence,position,Signal,position_size,price,market_return,strategy_return,sized_strategy_return,cumulative_market_return,cumulative_strategy_return,drawdown
2024-06-18,0.5009513,0,0.5009513,0,Hold,0.0,17.33759307861328,0.02127726950813624,0.0,0.0,0.021505244632060938,0.0,0.0
2024-06-20,0.49495196,0,0.50504804,0,Hold,0.0,17.395225524902344,0.0033186191906992998,0.0,0.0,0.02490086280572057,0.0,0.0
2024-06-21,0.49119386,0,0.5088061,0,Hold,0.0,17.67378044128418,0.015886436876702773,0.0,0.0,0.041312904933591854,0.0,0.0
2024-06-24,0.48597962,0,0.5140204,0,Hold,0.0,17.91391372680664,0.013495503753208689,0.0,0.0,0.05546120161235679,0.0,0.0
2024-06-25,0.48457488,0,0.5154251,0,Hold,0.0,17.952335357666016,0.002142495886095094,0.0,0.0,0.05772494706146336,0.0,0.0
2024-06-26,0.4798253,0,0.52017474,0,Hold,0.0,18.01957130432129,0.0037382519412305863,0.0,0.0,0.06168638921924963,0.0,0.0
2024-06-27,0.4787072,0,0.5212928,0,Hold,0.0,18.009967803955078,-0.0005330903936784891,-0.0,-0.0,0.06112056523512277,0.0,0.0
2024-06-28,0.47301775,0,0.52698225,0,Hold,0.0,18.355758666992188,0.01901797757221642,0.0,0.0,0.08149404952078032,0.0,0.0
2024-07-01,0.4719218,0,0.5280782,0,Hold,0.0,18.23089027404785,-0.006825925926186588,-0.0,-0.0,0.07413698918933465,0.0,0.0
2024-07-02,0.47029182,0,0.52970815,0,Hold,0.0,18.077205657958984,-0.008465634453434026,-0.0,-0.0,0.06508211977105893,0.0,0.0
2024-07-03,0.46959046,0,0.5304096,0,Hold,0.0,17.942729949951172,-0.007466772525800678,-0.0,-0.0,0.05715901069918661,0.0,0.0
2024-07-05,0.467568,0,0.53243196,0,Hold,0.0,18.02917861938477,0.004806463671265551,0.0,0.0,0.062252437959676055,0.0,0.0
2024-07-08,0.46660045,0,0.5333996,0,Hold,0.0,18.067598342895508,0.0021287073945021524,0.0,0.0,0.0645160710306325,0.0,0.0
2024-07-09,0.46626306,0,0.53373694,0,Hold,0.0,18.057992935180664,-0.0005317785869448971,-0.0,-0.0,0.06395013466835597,0.0,0.0
2024-07-10,0.46710393,0,0.53289604,0,Hold,0.0,18.270532608032227,0.011701113363435814,0.0,0.0,0.07647265665429814,0.0,0.0
2024-07-11,0.46535006,0,0.53464997,0,Hold,0.0,18.387527465820312,0.006383057629511519,0.0,0.0,0.08336581998346482,0.0,0.0
2024-07-12,0.46516672,0,0.5348333,0,Hold,0.0,18.33877944946289,-0.002654666318514786,-0.0,-0.0,0.08049365923146623,0.0,0.0
2024-07-15,0.46457562,0,0.53542435,0,Hold,0.0,18.11454200744629,-0.012302871806530547,-0.0,-0.0,0.06728192205294214,0.0,0.0
2024-07-16,0.46756625,0,0.53243375,0,Hold,0.0,18.37777709960937,0.014427126828047572,0.0,0.0,0.08279134288180501,0.0,0.0
2024-07-17,0.46653324,0,0.53346676,0,Hold,0.0,18.680011749267575,0.016311893424453824,0.0,0.0,0.10059855973915699,0.0,0.0
2024-07-18,0.46690807,0,0.5330919,0,Hold,0.0,18.67026138305664,-0.0005221041569297485,-0.0,-0.0,0.1000240826374974,0.0,0.0
2024-07-19,0.4680076,0,0.53199244,0,Hold,0.0,18.641014099121094,-0.0015677453824868954,-0.0,-0.0,0.09830087608881799,0.0,0.0
2024-07-22,0.4716044,0,0.5283956,0,Hold,0.0,18.08529090881348,-0.030265261321395114,-0.0,-0.0,0.0655584907479636,0.0,0.0
2024-07-23,0.47940853,0,0.5205915,0,Hold,0.0,17.753808975219727,-0.018498867861992077,-0.0,-0.0,0.04602806734193221,0.0,0.0
2024-07-24,0.4957463,0,0.5042537,0,Hold,0.0,18.680011749267575,0.05085397872280372,0.0,0.0,0.10059855973915677,0.0,0.0
2024-07-25,0.5004542,0,0.5004542,0,Hold,0.0,18.709259033203125,0.0015644750105525402,0.0,0.0,0.1023217662878364,0.0,0.0
2024-07-26,0.49721652,0,0.5027835,0,Hold,0.0,18.533769607543945,-0.009424084500072642,-0.0,-0.0,0.0919821898613109,0.0,0.0
2024-07-29,0.49799713,0,0.50200284,0,Hold,0.0,18.4265251159668,-0.0058032433646773044,-0.0,-0.0,0.08566350363380404,0.0,0.0
2024-07-30,0.49170083,0,0.5082992,0,Hold,0.0,18.50452041625977,0.004223840139226716,0.0,0.0,0.09025887093448204,0.0,0.0
2024-07-31,0.48901913,0,0.51098084,0,Hold,0.0,18.767757415771484,0.0141253173491572,0.0,0.0,0.1057684041414948,0.0,0.0
2024-08-01,0.47962737,0,0.5203726,0,Hold,0.0,18.98224449157715,0.011363675394906864,0.0,0.0,0.1184056642183593,0.0,0.0
2024-08-02,0.47716427,0,0.52283573,0,Hold,0.0,18.884750366210938,-0.005149304356280771,-0.0,-0.0,0.1126614550925118,0.0,0.0
2024-08-05,0.47264677,0,0.5273532,0,Hold,0.0,18.4362735748291,-0.024034623536842124,-0.0,-0.0,0.08623786835731395,0.0,0.0
2024-08-06,0.47580993,0,0.52419007,0,Hold,0.0,18.709259033203125,0.014698422874582345,0.0,0.0,0.10232176628783662,0.0,0.0
2024-08-07,0.47013047,0,0.52986956,0,Hold,0.0,18.767757415771484,0.0031218296236338824,0.0,0.0,0.10576840414149502,0.0,0.0
2024-08-08,0.46775362,0,0.53224635,0,Hold,0.0,18.91399955749512,0.007761998787228269,0.0,0.0,0.1143847740193411,0.0,0.0
2024-08-09,0.45999533,0,0.5400047,0,Hold,0.0,19.001745223999023,0.004628463645121668,0.0,0.0,0.1195546184216787,0.0,0.0
2024-08-12,0.4589471,0,0.54105294,0,Hold,0.0,18.943246841430664,-0.003083328035087995,-0.0,-0.0,0.11610798056802052,0.0,0.0
2024-08-13,0.45213044,0,0.54786956,0,Hold,0.0,19.03099250793457,0.004621334050167413,0.0,0.0,0.1212778249703581,0.0,0.0
2024-08-14,0.4517139,0,0.5482861,0,Hold,0.0,19.13823509216309,0.005619336474469666,0.0,0.0,0.12759639881971574,0.0,0.0
2024-08-15,0.44731677,0,0.55268323,0,Hold,0.0,18.611764907836918,-0.027894268644172524,-0.0,-0.0,0.09657755716198957,0.0,0.0
2024-08-16,0.45122746,0,0.5487726,0,Hold,0.0,18.85550308227539,0.013010909303697636,0.0,0.0,0.11093824854383283,0.0,0.0
2024-08-19,0.44423887,0,0.5557611,0,Hold,0.0,19.001745223999023,0.007726016850925919,0.0,0.0,0.11955461842167892,0.0,0.0
2024-08-20,0.44283634,0,0.55716366,0,Hold,0.0,19.001745223999023,0.0,0.0,0.0,0.11955461842167892,0.0,0.0
2024-08-21,0.43665648,0,0.5633435,0,Hold,0.0,19.05049133300781,0.002562064156233056,0.0,0.0,0.12242666679552738,0.0,0.0
2024-08-22,0.43686923,0,0.56313074,0,Hold,0.0,19.021244049072266,-0.0015364306037273265,-0.0,-0.0,0.1207034602468482,0.0,0.0
