,UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN 
0,100654,1,1,999,R,6681,R,2666,R,4015,R,19,R,9,R,10,R,17,R,6,R,11,R,5654,R,2254,R,3400,R,66,R,33,R,33,R,6,R,2,R,4,R,144,R,74,R,70,R,70,R,24,R,46,R,601,R,208,R,393,R,104,R,56,R,48,R,14.0,A,,R,14.0,R,6667.0
1,100654,2,2,1,R,5663,R,2337,R,3326,R,17,R,7,R,10,R,11,R,4,R,7,R,5047,R,2069,R,2978,R,63,R,32,R,31,R,6,R,2,R,4,R,120,R,65,R,55,R,68,R,24,R,44,R,278,R,105,R,173,R,53,R,29,R,24,R,8.0,A,,R,8.0,R,5655.0
2,100654,3,-2,1,R,5621,R,2323,R,3298,R,17,R,7,R,10,R,9,R,4,R,5,R,5024,R,2063,R,2961,R,61,R,32,R,29,R,6,R,2,R,4,R,111,R,60,R,51,R,68,R,24,R,44,R,272,R,102,R,170,R,53,R,29,R,24,A,,A,,A,,A,
3,100654,4,-2,1,R,1680,R,722,R,958,R,4,R,3,R,1,R,0,R,0,R,0,R,1481,R,635,R,846,R,14,R,8,R,6,R,3,R,1,R,2,R,21,R,12,R,9,R,23,R,7,R,16,R,122,R,48,R,74,R,12,R,8,R,4,A,,A,,A,,A,
4,100654,5,-2,1,R,3941,R,1601,R,2340,R,13,R,4,R,9,R,9,R,4,R,5,R,3543,R,1428,R,2115,R,47,R,24,R,23,R,3,R,1,R,2,R,90,R,48,R,42,R,45,R,17,R,28,R,150,R,54,R,96,R,41,R,21,R,20,A,,A,,A,,A,
5,100654,11,-2,1,R,42,R,14,R,28,R,0,R,0,R,0,R,2,R,0,R,2,R,23,R,6,R,17,R,2,R,0,R,2,R,0,R,0,R,0,R,9,R,5,R,4,R,0,R,0,R,0,R,6,R,3,R,3,R,0,R,0,R,0,A,,A,,A,,A,
6,100654,12,4,3,R,1018,R,329,R,689,R,2,R,2,R,0,R,6,R,2,R,4,R,607,R,185,R,422,R,3,R,1,R,2,R,0,R,0,R,0,R,24,R,9,R,15,R,2,R,0,R,2,R,323,R,103,R,220,R,51,R,27,R,24,R,6.0,A,,R,6.0,R,1012.0
7,100654,19,-2,1,R,361,R,177,R,184,R,3,R,0,R,3,R,3,R,1,R,2,R,296,R,144,R,152,R,6,R,3,R,3,R,1,R,1,R,0,R,35,R,18,R,17,R,6,R,4,R,2,R,1,R,1,R,0,R,10,R,5,R,5,A,,A,,A,,A,
8,100654,20,-2,1,R,3580,R,1424,R,2156,R,10,R,4,R,6,R,6,R,3,R,3,R,3247,R,1284,R,1963,R,41,R,21,R,20,R,2,R,0,R,2,R,55,R,30,R,25,R,39,R,13,R,26,R,149,R,53,R,96,R,31,R,16,R,15,A,,A,,A,,A,
9,100654,21,-2,999,R,5460,R,2169,R,3291,R,17,R,8,R,9,R,7,R,3,R,4,R,4684,R,1861,R,2823,R,55,R,28,R,27,R,6,R,2,R,4,R,104,R,52,R,52,R,61,R,19,R,42,R,431,R,147,R,284,R,95,R,49,R,46,A,,A,,A,,A,
